"";"id_ech";"Treatment";"Site";"Sub_site";"Plot";"Samples";"Horizon_name";"Lower_sample_level";"Sample_thickness";"Wet_weight_g";"Dry_weight";"Coarse_elts_dryweight";"Fine_elts_dryweight";"Water_content";"Volume_sample.cm3";"C_percent";"Total_thickness_horizon";"Bulk_density";"C_sample_density";"QuantiteC_horizontha";"Total_thickness_OrgaMin";"Total_thickness_Organic";"C_Quantity_totalprofiltha";"C_Quantity_totalprofil_Orga_tha";"Thickness_ref";"Thickness_refcontrolmodif";"Plot_peat_thickness";"Opening_canopy";"Air_Temp_average";"positif_Water_table_level";"Water_table_level_min";"Water_table_level_max";"Water_table_level_mean";"Air_Temp";"Std_erreur_Thick_ref";"plant_group";"CoverBryo_ref_all";"CL_DENS";"CL_PENT";"DEP_SUR";"CL_DRAI";"TYPE_ECO"
"15";"127";"Control";"Temoin2";"T2 ";"T2P2";"T2P2 Min";"Min";32;5;247,1;207,73;103,6;207,73;0,159328207;98,125;0,03719;5;1,0611974522293;0,0394659332484076;19,7329666242038;36;31;99,2986290242038;79,5656624;62;31;93,7;46,61;13,205;36,5;-36,5;-16,5;-26,5;NA;25;"Bryop_Feather";1,6;"B";"A";"4GA";50;"RE37"
"16";"128_129";"Control";"Temoin2";"T2 ";"T2P3";"T2P3 F";"F";14;8;468,45;62,5;7,1;56,55;0,862200162;1286,5625;0,47014;83;0,043060480932718;0,020244454505708;168,028972397377;88;83;193,097418461071;168,028972397377;62;83;106,05;59,44;13,205;37;-37;-8;-22,5;13,2737069;25;"Bryop_Feather";1,6;"B";"A";"4GA";50;"RE37"
"17";"130";"Control";"Temoin2";"T2 ";"T2P3";"T2P3 Min";"Min";83;5;231,1;191,53;89,5;191,53;0,171224578;98,125;0,048218;5;1,03979617834395;0,0501368921273885;25,0684460636943;88;83;193,097418461071;168,028972397377;62;83;106,05;59,44;13,205;37;-37;-8;-22,5;13,2737069;25;"Bryop_Feather";1,6;"B";"A";"4GA";50;"RE37"
"18";"131";"Control";"Temoin3";"T3 ";"T3P1";"T3P1 F";"F";3;11;800,5;73,33;0,94;72,39;0,908394753;2475;0,50162;25;0,0292484848484849;0,014671624969697;36,6790624242424;53;53;180,638803095722;180,638803095722;62;53;67,65;30,67;13,02;51,5;-51,5;-22,5;-37;NA;25;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"19";"132";"Control";"Temoin3";"T3 ";"T3P1";"T3P1 M";"M";25;8;749;127,8;9,29;118,51;0,829372497;1800;0,40046;8;0,0658388888888889;0,0263658414444444;21,0926731555555;53;53;180,638803095722;180,638803095722;62;53;67,65;30,67;13,02;51,5;-51,5;-22,5;-37;NA;25;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"20";"133";"Control";"Temoin3";"T3 ";"T3P1";"T3P1 H";"H";33;20;440;58,1;0;58,1;0,867954545;392,5;0,41502;20;0,148025477707006;0,0614335337579618;122,867067515924;53;53;180,638803095722;180,638803095722;62;53;67,65;30,67;13,02;51,5;-51,5;-22,5;-37;NA;25;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"21";"134";"Control";"Temoin3";"T3 ";"T3P2";"T3P2 F";"F";0;6;152,1;31,1;2,6;28,5;0,795529257;1350;0,53307;6;0,0211111111111111;0,0112537;6,75222;83;78;778,290559165463;771,522912439349;39;78;77,15;52,16;13,02;37;-37;-20;-28,5;NA;17,46837025;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"22";"135";"Control";"Temoin3";"T3 ";"T3P2";"T3P2 M";"M";10;12;841,1;171,2;20,66;150,54;0,796457021;2700;0,52852;29;0,0557555555555556;0,0294679262222222;85,4569860444444;83;78;778,290559165463;771,522912439349;39;78;77,15;52,16;13,02;37;-37;-20;-28,5;NA;17,46837025;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"23";"136";"Control";"Temoin3";"T3 ";"T3P2";"T3P2 H";"H";46;5;162,2;34,1;0,33;33,77;0,789765721;98,125;0,45904;43;0,344152866242038;0,157979931719745;679,313706394904;83;78;778,290559165463;771,522912439349;39;78;77,15;52,16;13,02;37;-37;-20;-28,5;NA;17,46837025;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"24";"137";"Control";"Temoin3";"T3 ";"T3P2";"T3P2 Min";"Min";78;5;265,5;226,37;115,7;226,37;0,147382298;98,125;0,012001;5;1,12784713375796;0,0135352934522293;6,76764672611465;83;78;778,290559165463;771,522912439349;39;78;77,15;52,16;13,02;37;-37;-20;-28,5;NA;17,46837025;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"25";"138";"Control";"Temoin3";"T3 ";"T3P3";"T3P3 F";"F";0;6;169,8;40,5;2,8;37,7;0,761484099;1350;0,52784;6;0,0279259259259259;0,0147404207407407;8,84425244444444;90;85;812,538844290523;787,05676388288;53;85;80,725;74;13,02;46;-46;-13;-29,5;13,64008621;23,23699154;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"26";"139";"Control";"Temoin3";"T3 ";"T3P3";"T3P3 M";"M";10;11;759,6;167,8;14,87;152,93;0,77909426;2475;0,53087;37;0,061789898989899;0,0328024036767677;121,36889360404;90;85;812,538844290523;787,05676388288;53;85;80,725;74;13,02;46;-46;-13;-29,5;13,64008621;23,23699154;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"27";"140";"Control";"Temoin3";"T3 ";"T3P3";"T3P3 H";"H";43;5;198,8;90;0;90;0,547283702;98,125;0,17051;42;0,917197452229299;0,156391337579618;656,843617834395;90;85;812,538844290523;787,05676388288;53;85;80,725;74;13,02;46;-46;-13;-29,5;13,64008621;23,23699154;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"28";"141";"Control";"Temoin3";"T3 ";"T3P3";"T3P3 Min";"Min";85;5;222,5;182,82;0;182,82;0,178337079;98,125;0,027354;5;1,86313375796178;0,0509641608152866;25,4820804076433;90;85;812,538844290523;787,05676388288;53;85;80,725;74;13,02;46;-46;-13;-29,5;13,64008621;23,23699154;"Bryop_Feather";3,6;"";"A";"4GA";50;"RE37"
"29";"142";"Control";"Temoin4";"T4";"T4P1";"T4P1 F";"F";4;7;566,2;56,8;0,85;55,95;0,899682091;1575;0,48456;15;0,0355238095238095;0,0172134171428571;25,8201257142857;84;79;1241,24819915463;1228,24273596991;62;79;66,575;74;15,19466667;39;-39;-2,5;-20,75;NA;25;"Bryop_Feather";7,57;"D";"A";"7T";50;"RE38"
"30";"143";"Control";"Temoin4";"T4";"T4P1";"T4P1 M";"M";21;10;1799,5;164,9;13,75;151,15;0,908363434;2250;0,46731;16;0,0671777777777778;0,0313928473333333;50,2285557333333;84;79;1241,24819915463;1228,24273596991;62;79;66,575;74;15,19466667;39;-39;-2,5;-20,75;NA;25;"Bryop_Feather";7,57;"D";"A";"7T";50;"RE38"
"31";"144";"Control";"Temoin4";"T4";"T4P1";"T4P1 H";"H";46;5;214,1;83,2;0,54;82,09;0,611396544;98,125;0,28495;48;0,842394904458599;0,240040428025478;1152,19405452229;84;79;1241,24819915463;1228,24273596991;62;79;66,575;74;15,19466667;39;-39;-2,5;-20,75;NA;25;"Bryop_Feather";7,57;"D";"A";"7T";50;"RE38"
"32";"145";"Control";"Temoin4";"T4";"T4P1";"T4P1 Min";"Min";79;5;250,2;210,87;114,9;210,87;0,157194245;98,125;0,026595;5;0,978038216560509;0,0260109263694267;13,0054631847134;84;79;1241,24819915463;1228,24273596991;62;79;66,575;74;15,19466667;39;-39;-2,5;-20,75;NA;25;"Bryop_Feather";7,57;"D";"A";"7T";50;"RE38"
"33";"152";"Control";"Temoin2";"T5";"T5P1";"T5P1 F";"F";15;15;313,8;56,9;13,1;45;0,818674315;3375;0,4817;30;0,0129777777777778;0,00625139555555556;18,7541866666667;84;77;208,808351722576;203,737038244869;62;77;70,79;45,23;13,205;43;-43;-16,5;-29,75;NA;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"34";"153";"Control";"Temoin2";"T5";"T5P1";"T5P1 M";"M";30;15;529,3;83,9;2,4;83,3;0,841488759;3375;0,44416;30;0,0241481481481481;0,0107256414814815;32,1769244444444;84;77;208,808351722576;203,737038244869;62;77;70,79;45,23;13,205;43;-43;-16,5;-29,75;NA;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"35";"154";"Control";"Temoin2";"T5";"T5P1";"T5P1 H";"H";60;15;146,8;47,7;0;47,7;0,67506812;147,1875;0,27736;17;0,324076433121019;0,0898858394904459;152,805927133758;84;77;208,808351722576;203,737038244869;62;77;70,79;45,23;13,205;43;-43;-16,5;-29,75;NA;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"36";"155";"Control";"Temoin2";"T5";"T5P1";"T5P1 Min";"Min";77;7;171,1;138,1;0;138,1;0,192869667;137,375;0,0072067;7;1,00527752502275;0,00724473353958144;5,07131347770701;84;77;208,808351722576;203,737038244869;62;77;70,79;45,23;13,205;43;-43;-16,5;-29,75;NA;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"37";"159";"Control";"Temoin2";"T5";"T5P3";"T5P3 F";"F";0;9;277;45,1;9,14;35,46;0,837184116;2025;0,51074;9;0,017758024691358;0,0090697335308642;8,16276017777778;91;91;466,934299798047;466,934299798047;62;91;154,05;78,16;13,205;36;-36;-19;-27,5;13,69181034;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"38";"160";"Control";"Temoin2";"T5";"T5P3";"T5P3 M";"M";25;10;1839,3;211,9;27,17;184,73;0,884793128;2250;0,50051;26;0,0821022222222222;0,0410929832444445;106,841756435556;91;91;466,934299798047;466,934299798047;62;91;154,05;78,16;13,205;36;-36;-19;-27,5;13,69181034;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"39";"161";"Control";"Temoin2";"T5";"T5P3";"T5P3 H";"H";44;12;480,2;112;0,33;111,67;0,766763848;942;0,53013;56;0,118545647558386;0,0628446041401274;351,929783184713;91;91;466,934299798047;466,934299798047;62;91;154,05;78,16;13,205;36;-36;-19;-27,5;13,69181034;25;"Bryop_Feather";5,7;"";"A";"7E";60;"RE39"
"40";"1";"Harrow";"Herse1";"H1";"H1P1";"H1P1 F";"F";0;8;309,8;39,6;6,7;33,6;0,872175597;1800;0,43452;8;0,0182777777777778;0,00794206;6,353648;109,3;109,3;435,678836788236;435,678836788236;62;62;90,65;100;15,005;14,5;-14,5;0;-7,25;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"41";"2";"Harrow";"Herse1";"H1";"H1P1";"H1P1 M";"M";16;9;1400;119,3;7,8;113,8;0,914785714;2025;0,44138;26,5;0,0550617283950617;0,0243031456790123;64,4033360493827;109,3;109,3;435,678836788236;435,678836788236;62;62;90,65;100;15,005;14,5;-14,5;0;-7,25;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"42";"3";"Harrow";"Herse1";"H1";"H1P1";"H1P1 H";"H";34,5;5;97,7;10,7;0,2;10,5;0,890481064;98,125;0,45592;74,8;0,107006369426752;0,0487863439490446;364,921852738853;109,3;109,3;435,678836788236;435,678836788236;62;62;90,65;100;15,005;14,5;-14,5;0;-7,25;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"43";"4";"Harrow";"Herse1";"H1";"H1P2";"H1P2 F";"F";0;6;272;14,8;1;13,9;0,945588235;1350;0,43779;6;0,0102222222222222;0,00447518666666667;2,685112;52;47;62,212306482661;42,5844644444444;62;62;60,95;100;15,005;17,5;-17,5;-2,5;-10;NA;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"44";"5";"Harrow";"Herse1";"H1";"H1P2";"H1P2 M";"M";6;2;473,7;33,1;5,4;28,1;0,930124551;450;0,45676;2;0,0615555555555556;0,0281161155555556;5,62322311111111;52;47;62,212306482661;42,5844644444444;62;62;60,95;100;15,005;17,5;-17,5;-2,5;-10;NA;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"45";"6";"Harrow";"Herse1";"H1";"H1P2";"H1P2 H";"H";8;8;555,4;40,3;6,5;34,3;0,927439683;1800;0,46804;39;0,0187777777777778;0,00878875111111111;34,2761293333333;52;47;62,212306482661;42,5844644444444;62;62;60,95;100;15,005;17,5;-17,5;-2,5;-10;NA;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"46";"7";"Harrow";"Herse1";"H1";"H1P2";"H1P2 Min";"Min";47;5;145,2;100,5;0;100,5;0,30785124;98,125;0,038328;5;1,02420382165605;0,0392556840764331;19,6278420382166;52;47;62,212306482661;42,5844644444444;62;62;60,95;100;15,005;17,5;-17,5;-2,5;-10;NA;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"47";"8";"Harrow";"Herse1";"H1";"H1P3";"H1P3 F";"F";0;2;422,8;33,4;2,3;31,9;0,921002838;450;0,35776;2;0,0691111111111111;0,0247251911111111;4,94503822222222;25;20;87,6081119490446;61,652488;62;62;39,25;93,76;15,005;17,5;-17,5;-3,5;-10,5;15,07902299;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"48";"9";"Harrow";"Herse1";"H1";"H1P3";"H1P3 M";"M";6;8;802,7;157,2;12,2;143,1;0,804160957;1800;0,29263;8;0,0805555555555556;0,0235729722222222;18,8583777777778;25;20;87,6081119490446;61,652488;62;62;39,25;93,76;15,005;17,5;-17,5;-3,5;-10,5;15,07902299;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"49";"10";"Harrow";"Herse1";"H1";"H1P3";"H1P3 H";"H";8;5;627,8;139,8;3,6;134,5;0,777317617;1125;0,31263;10;0,121066666666667;0,037849072;37,849072;25;20;87,6081119490446;61,652488;62;62;39,25;93,76;15,005;17,5;-17,5;-3,5;-10,5;15,07902299;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"50";"11";"Harrow";"Herse1";"H1";"H1P3";"H1P3 Min";"Min";20;5;178,6;134,2;1,3;132,9;0,248600224;98,125;0,038328;5;1,3543949044586;0,0519112478980892;25,9556239490446;25;20;87,6081119490446;61,652488;62;62;39,25;93,76;15,005;17,5;-17,5;-3,5;-10,5;15,07902299;25;"Bryop_Feather";2,42;"";"A";"7T";50;"RE38"
"51";"12";"Harrow";"Herse1";"H2";"H2P1";"H2P1 F";"F";0;5;202,2;25,7;4,3;22;0,872898121;1125;0,41138;5;0,0190222222222222;0,00782536177777778;3,91268088888889;109;109;199,997737991189;199,997737991189;62;62;64,4;100;15,005;41;-41;-11;-26;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"52";"13";"Harrow";"Herse1";"H2";"H2P1";"H2P1 M";"M";10;3,5;229,1;47,1;23,8;23,7;0,79441292;787,5;0,38101;17,5;0,0295873015873016;0,0112730577777778;19,7278511111111;109;109;199,997737991189;199,997737991189;62;62;64,4;100;15,005;41;-41;-11;-26;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"53";"14_15";"Harrow";"Herse1";"H2";"H2P1";"H2P1 H";"H";22,5;5,75;234,05;41,95;2,35;39,75;0,763500671;780,3125;0,401745;86,5;0,0507488986784141;0,0203881162995595;176,357205991189;109;109;199,997737991189;199,997737991189;62;62;64,4;100;15,005;41;-41;-11;-26;NA;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"54";"16";"Harrow";"Herse1";"H2";"H2P2";"H2P2 F";"F";0;3;224,5;11,7;0;11,9;0,947884187;675;0,44077;3;0,0173333333333333;0,00764001333333333;2,292004;93;88;356,568666133522;349,076538744987;62;62;79;100;15,005;16;-16;-2;-9;NA;25;"Bryop_Feather";0,33;"";"A";"7T";50;"RE38"
"55";"17";"Harrow";"Herse1";"H2";"H2P2";"H2P2 M";"M";3;9;977,1;72,6;3,8;69,9;0,925698496;2025;0,45147;44;0,0339753086419753;0,0153388325925926;67,4908634074074;93;88;356,568666133522;349,076538744987;62;62;79;100;15,005;16;-16;-2;-9;NA;25;"Bryop_Feather";0,33;"";"A";"7T";50;"RE38"
"56";"18";"Harrow";"Herse1";"H2";"H2P2";"H2P2 H";"H";47;5;102,6;18,7;2,2;16,5;0,817738791;98,125;0,40511;41;0,168152866242038;0,0681204076433121;279,29367133758;93;88;356,568666133522;349,076538744987;62;62;79;100;15,005;16;-16;-2;-9;NA;25;"Bryop_Feather";0,33;"";"A";"7T";50;"RE38"
"57";"19";"Harrow";"Herse1";"H2";"H2P2";"H2P2 Min";"Min";88;5;145;105,4;0;105,4;0,273103448;98,125;0,01395;5;1,07414012738854;0,0149842547770701;7,49212738853503;93;88;356,568666133522;349,076538744987;62;62;79;100;15,005;16;-16;-2;-9;NA;25;"Bryop_Feather";0,33;"";"A";"7T";50;"RE38"
"58";"20";"Harrow";"Herse1";"H2";"H2P3";"H2P3 F";"F";0;5;132,6;16,1;2,6;13,8;0,878582202;1125;0,41864;5;0,012;0,00502368;2,51184;83;78;316,957462929936;296,659988280255;62;62;49,65;100;15,005;29,5;-29,5;-6;-17,75;16,11853448;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"59";"21";"Harrow";"Herse1";"H2";"H2P3";"H2P3 M";"M";11;9;563,8;65,1;3;63;0,884533523;2025;0,42213;20;0,0306666666666667;0,01294532;25,89064;83;78;316,957462929936;296,659988280255;62;62;49,65;100;15,005;29,5;-29,5;-6;-17,75;16,11853448;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
"60";"22";"Harrow";"Herse1";"H2";"H2P3";"H2P3 H";"H";25;5;104,9;12,8;0,8;12,1;0,877979028;98,125;0,41388;53;0,122292993630573;0,0506146242038217;268,257508280255;83;78;316,957462929936;296,659988280255;62;62;49,65;100;15,005;29,5;-29,5;-6;-17,75;16,11853448;25;"Bryop_Feather";3,94153846153846;"";"A";"7T";50;"RE38"
